Mal ID,Username,Gender,Birthday,Location,Joined,Days Watched,Mean Score,Watching,Completed,On Hold,Dropped,Plan to Watch,Total Entries,Rewatched,Episodes Watched
229,sugaryfluff,,,,2005-11-12T00:00:00+00:00,30.7,7.77,8.0,70.0,24.0,4.0,2.0,108.0,0.0,1839.0
232,udinalyahya,Male,,,2005-11-13T00:00:00+00:00,29.5,7.77,8.0,37.0,0.0,6.0,4.0,55.0,3.0,1737.0
237,Hypothesis,Male,1985-08-10T00:00:00+00:00,"Yorba Linda, California",2005-12-13T00:00:00+00:00,9.4,8.38,2.0,3.0,3.0,0.0,3.0,11.0,2.0,577.0
238,aokisakura2,Female,1982-05-16T00:00:00+00:00,,2005-12-16T00:00:00+00:00,0.1,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
242,nagajahat,Male,1983-09-16T00:00:00+00:00,Pandan Jaya,2005-12-30T00:00:00+00:00,8.5,7.11,6.0,18.0,0.0,0.0,15.0,39.0,0.0,547.0
250,AniMenEWb,Male,1990-12-10T00:00:00+00:00,New york,2006-01-02T00:00:00+00:00,61.4,7.3,83.0,269.0,7.0,30.0,62.0,451.0,4.0,3736.0
254,Ayu,Female,,,2006-01-11T00:00:00+00:00,25.4,7.39,3.0,59.0,34.0,21.0,0.0,117.0,0.0,1497.0
255,Sneaker,Male,1984-02-18T00:00:00+00:00,"Johor, Malaysia",2006-01-17T00:00:00+00:00,41.8,8.31,11.0,115.0,2.0,5.0,0.0,133.0,0.0,2463.0
258,Zan,Male,,,2006-02-01T00:00:00+00:00,56.4,10.0,10.0,205.0,0.0,0.0,0.0,215.0,0.0,3354.0
268,Ticat,,,,2006-03-08T00:00:00+00:00,182.6,7.78,3.0,539.0,15.0,94.0,19.0,670.0,19.0,10668.0
271,Divine,Male,,Netherlands,2006-03-09T00:00:00+00:00,31.1,7.24,0.0,84.0,0.0,19.0,0.0,103.0,12.0,1870.0
272,Diviance,,,,2006-03-09T00:00:00+00:00,26.4,7.55,8.0,72.0,2.0,0.0,0.0,82.0,24.0,1480.0
274,flink,,,,2006-03-09T00:00:00+00:00,76.4,8.11,7.0,197.0,2.0,32.0,10.0,248.0,0.0,4723.0
277,ReKKu,,,,2006-03-10T00:00:00+00:00,53.2,8.49,16.0,83.0,0.0,0.0,0.0,99.0,34.0,3111.0
282,Hopis,Male,1990-04-29T00:00:00+00:00,"Helsinki, Finland",2006-03-12T00:00:00+00:00,167.3,7.91,1.0,470.0,0.0,4.0,3.0,478.0,0.0,10017.0
283,Aidan___,Male,,,2006-03-13T00:00:00+00:00,21.1,6.94,18.0,29.0,4.0,0.0,0.0,51.0,0.0,1287.0
292,MSN04,Male,1988-01-01T00:00:00+00:00,,2006-03-19T00:00:00+00:00,55.8,6.45,5.0,144.0,1.0,1.0,0.0,151.0,0.0,3188.0
293,CraigerRay,,,,2006-03-19T00:00:00+00:00,22.7,9.0,5.0,39.0,3.0,0.0,6.0,53.0,1.0,1372.0
295,AzraelNewtype,Male,1984-03-02T00:00:00+00:00,,2006-03-19T00:00:00+00:00,138.1,6.9,8.0,254.0,43.0,45.0,68.0,418.0,88.0,7965.0
297,Muda,Male,,"Hamilton, Ontario",2006-03-20T00:00:00+00:00,111.4,6.45,6.0,324.0,8.0,31.0,4.0,373.0,0.0,6525.0
300,Vire,Male,1985-04-04T00:00:00+00:00,"Wilmington, North Carolina",2006-03-30T00:00:00+00:00,13.9,5.83,5.0,35.0,10.0,1.0,20.0,71.0,3.0,801.0
310,Chazist,Male,,"New York, NY",2006-04-16T00:00:00+00:00,195.4,7.1,57.0,519.0,20.0,169.0,102.0,867.0,0.0,11743.0
312,Zylix,,,,2006-04-19T00:00:00+00:00,30.8,7.66,5.0,51.0,5.0,1.0,9.0,71.0,0.0,1840.0
317,killer04,,,,2006-04-22T00:00:00+00:00,93.6,7.82,6.0,66.0,2.0,4.0,0.0,78.0,87.0,5650.0
327,shadowminion,,,,2006-04-27T00:00:00+00:00,27.9,6.44,3.0,82.0,8.0,1.0,73.0,167.0,0.0,1618.0
330,Discard,Male,1988-10-17T00:00:00+00:00,Belgium,2006-04-29T00:00:00+00:00,21.2,6.39,0.0,30.0,2.0,2.0,28.0,62.0,2.0,1293.0
336,Skyw4lker,Male,1985-02-03T00:00:00+00:00,"Interlaken, Bern, Switzerland",2006-05-09T00:00:00+00:00,161.6,6.62,6.0,347.0,24.0,25.0,106.0,508.0,71.0,40113.0
341,melange,Male,1982-07-10T00:00:00+00:00,"Princeton, NJ",2006-05-13T00:00:00+00:00,77.4,6.87,10.0,309.0,20.0,16.0,14.0,369.0,11.0,4457.0
344,shance,Female,,Canada,2006-05-14T00:00:00+00:00,36.8,6.68,2.0,142.0,37.0,0.0,14.0,195.0,0.0,2168.0
346,zbarron,Male,1988-01-03T00:00:00+00:00,"Beachwood, Ohio",2006-05-15T00:00:00+00:00,46.2,7.56,4.0,62.0,15.0,2.0,28.0,111.0,0.0,2731.0
347,troublesome4u,Male,1978-12-08T00:00:00+00:00,Miami Beach,2006-05-15T00:00:00+00:00,70.9,8.64,22.0,167.0,3.0,10.0,79.0,281.0,0.0,4162.0
353,Niccole,Female,,,2006-05-18T00:00:00+00:00,108.7,7.18,17.0,316.0,2.0,1.0,0.0,336.0,0.0,6262.0
356,iglified,Female,1986-03-07T00:00:00+00:00,,2006-05-19T00:00:00+00:00,39.1,7.5,12.0,104.0,128.0,109.0,105.0,458.0,0.0,2328.0
357,zhambi,Male,,,2006-05-19T00:00:00+00:00,333.3,6.63,56.0,1331.0,0.0,82.0,11.0,1480.0,0.0,20620.0
359,Larsa,Male,1992-06-15T00:00:00+00:00,Norway,2006-05-21T00:00:00+00:00,180.7,7.62,31.0,567.0,19.0,45.0,0.0,662.0,180.0,11283.0
363,Hiyomika,Male,,,2006-05-22T00:00:00+00:00,35.7,8.64,1.0,36.0,0.0,2.0,0.0,39.0,43.0,2091.0
368,Masterface7,Male,1986-05-28T00:00:00+00:00,"Austin, Texas",2006-05-23T00:00:00+00:00,130.5,7.59,7.0,162.0,5.0,0.0,22.0,196.0,19.0,7833.0
374,Hemsko,,,,2006-05-25T00:00:00+00:00,213.6,7.62,6.0,565.0,73.0,72.0,180.0,896.0,17.0,12662.0
375,Aiko,Female,1990-05-28T00:00:00+00:00,U.S.,2006-05-25T00:00:00+00:00,52.9,7.8,35.0,91.0,20.0,2.0,11.0,159.0,0.0,3142.0
376,s0kkiplast,Male,1987-04-17T00:00:00+00:00,Sweden,2006-05-26T00:00:00+00:00,36.1,7.97,5.0,121.0,8.0,0.0,44.0,178.0,0.0,2077.0
380,Kikyo,,,,2006-05-27T00:00:00+00:00,5.0,9.0,7.0,18.0,0.0,0.0,69.0,94.0,0.0,279.0
384,Rie,Female,,"WA, USA",2006-05-27T00:00:00+00:00,206.9,8.45,361.0,440.0,154.0,20.0,112.0,1087.0,46.0,12191.0
390,martino,Male,,Europe,2006-05-28T00:00:00+00:00,56.1,8.37,10.0,255.0,9.0,29.0,1.0,304.0,1.0,3432.0
392,Touhou,Male,,Japan,2006-05-28T00:00:00+00:00,87.5,7.97,8.0,183.0,15.0,16.0,25.0,247.0,22.0,5201.0
396,Sources,,,,2006-05-29T00:00:00+00:00,37.2,6.74,0.0,29.0,3.0,7.0,0.0,39.0,1.0,2223.0
399,roarg,,,,2006-05-29T00:00:00+00:00,57.5,8.04,6.0,123.0,10.0,11.0,27.0,177.0,3.0,3364.0
401,zylias,Male,,,2006-05-30T00:00:00+00:00,86.7,8.34,14.0,304.0,6.0,2.0,22.0,348.0,2.0,5223.0
405,algalordvk,Male,,greece,2006-05-31T00:00:00+00:00,37.7,7.6,2.0,38.0,3.0,12.0,5.0,60.0,0.0,2242.0
407,KingKogs,,,,2006-06-01T00:00:00+00:00,128.0,7.69,11.0,244.0,0.0,2.0,28.0,285.0,8.0,7501.0
410,Meow,Female,1998-11-17T00:00:00+00:00,,2006-06-01T00:00:00+00:00,66.1,8.76,6.0,196.0,0.0,5.0,50.0,257.0,16.0,3813.0
413,Wolfdogg,,,,2006-06-04T00:00:00+00:00,4.5,8.0,0.0,15.0,4.0,0.0,11.0,30.0,5.0,230.0
415,Valaris,Male,1981-07-09T00:00:00+00:00,"Carlisle, Pennsylvania",2006-06-04T00:00:00+00:00,102.1,7.28,1.0,217.0,0.0,0.0,0.0,218.0,25.0,6012.0
417,virusmyrus,,,,2006-06-05T00:00:00+00:00,36.6,7.97,6.0,102.0,2.0,0.0,0.0,110.0,0.0,2217.0
422,Ewino,Male,1990-03-08T00:00:00+00:00,,2006-06-06T00:00:00+00:00,44.8,7.13,2.0,31.0,2.0,4.0,3.0,42.0,7.0,2672.0
424,Yamishimo,Male,,,2006-06-06T00:00:00+00:00,57.9,7.92,7.0,120.0,6.0,5.0,42.0,180.0,7.0,3436.0
425,djc89,,,,2006-06-06T00:00:00+00:00,26.0,7.47,8.0,57.0,6.0,5.0,5.0,81.0,0.0,1554.0
426,cnsgurl23,Female,1983-08-11T00:00:00+00:00,"Harrisburg, PA",2006-06-07T00:00:00+00:00,238.5,8.76,12.0,754.0,16.0,25.0,109.0,916.0,28.0,14108.0
428,NoeinHOLiC,Male,1990-06-25T00:00:00+00:00,Latvia,2006-06-07T00:00:00+00:00,61.1,8.35,5.0,150.0,21.0,4.0,18.0,198.0,10.0,3610.0
429,Karatekatten,,,,2006-06-07T00:00:00+00:00,41.9,7.05,10.0,40.0,3.0,12.0,0.0,65.0,3.0,2527.0
431,izikiel,Male,,Kungsör,2006-06-08T00:00:00+00:00,188.2,7.02,85.0,803.0,13.0,1.0,12.0,914.0,0.0,11041.0
432,Vendiel,Female,1981-08-07T00:00:00+00:00,"Stockholm, Sweden",2006-06-08T00:00:00+00:00,63.6,7.63,5.0,138.0,17.0,3.0,25.0,188.0,21.0,3669.0
433,SleepySmore,,,,2006-06-08T00:00:00+00:00,33.2,7.11,1.0,63.0,3.0,1.0,18.0,86.0,33.0,1971.0
434,Gaignun87,,,,2006-06-08T00:00:00+00:00,51.2,7.35,8.0,122.0,4.0,1.0,0.0,135.0,10.0,2990.0
436,Katsuki,Female,1990-10-28T00:00:00+00:00,Caifornia with the Pikas,2006-06-09T00:00:00+00:00,492.6,7.21,79.0,1816.0,35.0,19.0,78.0,2027.0,325.0,29778.0
448,SJounouchi,Female,,That one place,2006-06-19T00:00:00+00:00,199.6,7.74,17.0,1064.0,95.0,57.0,183.0,1416.0,70.0,12432.0
450,MO2J,Male,1979-08-03T00:00:00+00:00,"Southampton, United Kingdom",2006-06-20T00:00:00+00:00,78.7,7.89,28.0,136.0,20.0,22.0,74.0,280.0,14.0,4680.0
458,nika,Female,,,2006-06-25T00:00:00+00:00,73.4,6.59,8.0,181.0,62.0,63.0,108.0,422.0,0.0,4485.0
460,Fehrant,,,,2006-06-26T00:00:00+00:00,78.5,7.02,1.0,230.0,0.0,30.0,3.0,264.0,0.0,4657.0
462,UndyingQueen,Female,1983-04-26T00:00:00+00:00,,2006-06-27T00:00:00+00:00,32.1,8.56,20.0,94.0,7.0,0.0,15.0,136.0,32.0,1791.0
465,bloody,Male,,,2006-07-01T00:00:00+00:00,145.8,8.75,24.0,266.0,20.0,8.0,7.0,325.0,15.0,8810.0
467,June,Female,,Oz,2006-07-01T00:00:00+00:00,295.3,6.83,111.0,920.0,35.0,62.0,133.0,1261.0,63.0,17533.0
475,Ducky,Male,1990-09-06T00:00:00+00:00,"England, UK",2006-07-03T00:00:00+00:00,32.9,7.55,5.0,48.0,56.0,5.0,49.0,163.0,4.0,1945.0
476,TheRedSpade,,,,2006-07-03T00:00:00+00:00,35.5,8.52,5.0,67.0,9.0,3.0,13.0,97.0,0.0,2108.0
480,Sync,Male,,Chair,2006-07-04T00:00:00+00:00,153.8,7.65,61.0,385.0,16.0,0.0,89.0,551.0,0.0,9161.0
482,midnightq2,Male,1979-10-11T00:00:00+00:00,,2006-07-04T00:00:00+00:00,25.1,7.15,0.0,178.0,46.0,107.0,38.0,369.0,0.0,1369.0
483,Mack,,,,2006-07-04T00:00:00+00:00,24.0,6.7,4.0,126.0,70.0,26.0,3.0,229.0,0.0,1412.0
488,stoneblade,Male,,,2006-07-04T00:00:00+00:00,258.5,7.78,139.0,1130.0,46.0,1.0,225.0,1541.0,0.0,15372.0
492,Tasura,Male,1987-06-04T00:00:00+00:00,In the shadows of mankind.,2006-07-07T00:00:00+00:00,87.2,7.91,25.0,209.0,112.0,0.0,644.0,990.0,2.0,5241.0
499,cyborg,Male,1989-12-15T00:00:00+00:00,"Portland, Oregon",2006-07-09T00:00:00+00:00,33.4,7.97,3.0,78.0,0.0,0.0,1.0,82.0,5.0,1924.0
504,JusticeGundam,Male,,Llanfairpwllgwyngyllgogerychwyrndrobwllllantysilio,2006-07-12T00:00:00+00:00,176.3,7.65,38.0,534.0,35.0,32.0,19.0,658.0,36.0,10445.0
506,Expression,Male,1987-05-14T00:00:00+00:00,"La Mirada, California",2006-07-13T00:00:00+00:00,78.6,6.86,0.0,128.0,14.0,35.0,0.0,177.0,33.0,4628.0
507,slush,Male,,,2006-07-13T00:00:00+00:00,44.5,7.16,16.0,92.0,1.0,2.0,0.0,111.0,5.0,2629.0
508,Dawlight,,1991-08-29T00:00:00+00:00,"Hallsberg, Sweden",2006-07-13T00:00:00+00:00,69.5,7.13,0.0,210.0,26.0,8.0,15.0,259.0,17.0,4118.0
509,s2k,,,,2006-07-14T00:00:00+00:00,14.0,8.44,5.0,28.0,16.0,2.0,16.0,67.0,4.0,830.0
512,Champloon,Male,1987-03-09T00:00:00+00:00,"Las Vegas, Nevada",2006-07-16T00:00:00+00:00,108.2,8.1,39.0,294.0,31.0,4.0,13.0,381.0,0.0,6343.0
514,MarzipanNeko,Female,,"Glasgow, UK",2006-07-16T00:00:00+00:00,143.9,6.13,37.0,497.0,18.0,55.0,47.0,654.0,26.0,8492.0
521,Amurko,,,,2006-07-18T00:00:00+00:00,20.8,7.51,3.0,48.0,6.0,1.0,0.0,58.0,0.0,1243.0
524,starwind,Male,1984-03-16T00:00:00+00:00,"Bakersfield,California",2006-07-19T00:00:00+00:00,58.3,7.8,9.0,71.0,2.0,0.0,0.0,82.0,121.0,3164.0
527,wildinferno16,Male,1991-02-01T00:00:00+00:00,"London, UK",2006-07-21T00:00:00+00:00,168.2,8.28,52.0,269.0,16.0,5.0,744.0,1086.0,42.0,10074.0
529,Keyblader24,Male,,,2006-07-22T00:00:00+00:00,65.2,8.28,15.0,160.0,0.0,0.0,15.0,190.0,0.0,3800.0
530,BereBob,Male,1987-08-19T00:00:00+00:00,,2006-07-23T00:00:00+00:00,98.3,8.95,54.0,246.0,12.0,2.0,10.0,324.0,6.0,5870.0
532,sajto,Male,,,2006-07-23T00:00:00+00:00,3.4,6.38,14.0,223.0,0.0,3.0,0.0,240.0,0.0,202.0
537,halo,Male,1989-12-05T00:00:00+00:00,,2006-07-26T00:00:00+00:00,7.8,7.86,1.0,16.0,6.0,1.0,2.0,26.0,9.0,447.0
540,Vertago,Male,1987-03-11T00:00:00+00:00,"Atlanta, GA",2006-07-27T00:00:00+00:00,298.3,7.34,2.0,1332.0,15.0,60.0,20.0,1429.0,21.0,17744.0
545,mugiwara-,,,,2006-07-29T00:00:00+00:00,30.2,7.45,6.0,77.0,2.0,0.0,0.0,85.0,0.0,1812.0
549,dotGif,Male,1988-01-25T00:00:00+00:00,"Bergen, Norway",2006-07-30T00:00:00+00:00,54.8,8.4,21.0,131.0,7.0,9.0,49.0,217.0,4.0,3182.0
554,manateegirl,Female,,St. Louis,2006-07-31T00:00:00+00:00,59.0,6.57,16.0,193.0,30.0,21.0,132.0,392.0,18.0,3467.0
557,Renwin,,1990-03-09T00:00:00+00:00,From behind!,2006-08-01T00:00:00+00:00,70.7,6.82,11.0,135.0,4.0,5.0,10.0,165.0,60.0,4262.0
558,zanmato666,Male,1985-12-17T00:00:00+00:00,"Toronto, Ontario - Canada",2006-08-01T00:00:00+00:00,197.8,6.99,6.0,667.0,11.0,6.0,4.0,694.0,0.0,11716.0
559,Gyad,Male,1991-05-20T00:00:00+00:00,,2006-08-01T00:00:00+00:00,225.0,6.76,7.0,715.0,2.0,87.0,1.0,812.0,0.0,13149.0
560,Kouy,Male,1991-10-03T00:00:00+00:00,"Bellingham, Washington",2006-08-02T00:00:00+00:00,39.3,8.33,1.0,76.0,16.0,22.0,5.0,120.0,0.0,2298.0
561,Ishiyumi,Male,1987-01-31T00:00:00+00:00,Withdrawn into myself,2006-08-02T00:00:00+00:00,218.9,6.84,17.0,818.0,0.0,2.0,6.0,843.0,23.0,13203.0
562,TheWhiteLights,Male,1986-03-01T00:00:00+00:00,,2006-08-03T00:00:00+00:00,31.8,8.72,2.0,51.0,2.0,26.0,8.0,89.0,54.0,1889.0
564,NiLka,Female,1988-04-11T00:00:00+00:00,Lithuania,2006-08-03T00:00:00+00:00,129.6,8.24,2.0,386.0,5.0,61.0,41.0,495.0,5.0,7663.0
570,NemesisScourge,,,,2006-08-04T00:00:00+00:00,28.2,8.33,3.0,63.0,2.0,0.0,6.0,74.0,1.0,1676.0
571,sharpshooterbbb,Male,,,2006-08-04T00:00:00+00:00,35.4,7.9,0.0,51.0,6.0,5.0,0.0,62.0,40.0,2034.0
574,Kirox,Male,,France,2006-08-05T00:00:00+00:00,218.2,6.33,19.0,754.0,2.0,142.0,10.0,927.0,10.0,13040.0
575,khyos,Male,1986-10-21T00:00:00+00:00,France,2006-08-05T00:00:00+00:00,179.5,6.43,4.0,622.0,1.0,101.0,55.0,783.0,19.0,11026.0
585,starchild,Female,,,2006-08-07T00:00:00+00:00,15.7,7.91,3.0,33.0,5.0,0.0,5.0,46.0,9.0,883.0
589,Dark_Butterfly,,,,2006-08-08T00:00:00+00:00,10.9,8.69,1.0,10.0,1.0,1.0,0.0,13.0,6.0,644.0
590,draiol,Female,1986-05-08T00:00:00+00:00,"Uppsala, Sweden",2006-08-09T00:00:00+00:00,37.6,7.6,2.0,49.0,0.0,2.0,14.0,67.0,4.0,2214.0
591,darthhowie,Male,1981-05-26T00:00:00+00:00,"Toronto, Ontario",2006-08-09T00:00:00+00:00,29.7,8.04,5.0,45.0,0.0,1.0,0.0,51.0,0.0,1752.0
592,Enna,Female,,Pluto,2006-08-09T00:00:00+00:00,200.4,7.34,31.0,764.0,0.0,186.0,73.0,1054.0,14.0,11928.0
595,VnTB,,,,2006-08-10T00:00:00+00:00,43.5,6.48,28.0,144.0,19.0,94.0,43.0,328.0,0.0,2527.0
596,TatsubeiYagyu,Male,1990-01-07T00:00:00+00:00,"Sugar Land, Texas",2006-08-10T00:00:00+00:00,54.8,7.95,7.0,128.0,39.0,5.0,331.0,510.0,3.0,3258.0
598,Braveone,Male,,Miami/WPB,2006-08-12T00:00:00+00:00,59.4,7.44,11.0,66.0,7.0,16.0,16.0,116.0,28.0,3545.0
607,Lord_Vegita,Male,1983-11-22T00:00:00+00:00,,2006-08-14T00:00:00+00:00,53.9,8.27,13.0,125.0,9.0,3.0,0.0,150.0,7.0,3098.0
608,kittenbitten,,,,2006-08-15T00:00:00+00:00,123.9,6.02,16.0,349.0,1.0,49.0,4.0,419.0,0.0,7376.0
609,Canal,Female,,"Athens, Greece",2006-08-15T00:00:00+00:00,335.6,6.03,172.0,1180.0,179.0,35.0,199.0,1765.0,25.0,20036.0
610,jason3,,1989-08-18T00:00:00+00:00,,2006-08-15T00:00:00+00:00,15.2,8.2,18.0,18.0,1.0,0.0,9.0,46.0,11.0,897.0
612,Rekka,,,,2006-08-15T00:00:00+00:00,12.0,7.93,8.0,40.0,1.0,2.0,0.0,51.0,0.0,719.0
614,fluffyanimals,Male,,United States,2006-08-16T00:00:00+00:00,78.0,7.45,56.0,254.0,14.0,30.0,1064.0,1418.0,17.0,4554.0
615,Yojiro,,,,2006-08-16T00:00:00+00:00,244.3,6.88,3.0,1081.0,97.0,0.0,42.0,1223.0,0.0,14299.0
616,Darki,Male,1989-06-27T00:00:00+00:00,France,2006-08-17T00:00:00+00:00,77.6,8.01,16.0,190.0,12.0,7.0,63.0,288.0,6.0,4501.0
618,flo,,,,2006-08-17T00:00:00+00:00,95.5,7.37,15.0,279.0,22.0,46.0,13.0,375.0,58.0,5600.0
628,Velcor,Male,1985-12-16T00:00:00+00:00,Mexico,2006-08-18T00:00:00+00:00,121.9,7.32,118.0,546.0,10.0,67.0,319.0,1060.0,18.0,7463.0
632,aisakku,Male,1986-01-29T00:00:00+00:00,"Austin, TX",2006-08-18T00:00:00+00:00,90.8,6.02,5.0,274.0,22.0,45.0,8.0,354.0,0.0,5234.0
633,Darknesinthewood,,,,2006-08-19T00:00:00+00:00,10.4,8.12,2.0,19.0,1.0,5.0,16.0,43.0,0.0,611.0
634,Deithwen,Male,,,2006-08-19T00:00:00+00:00,94.0,7.08,15.0,328.0,44.0,203.0,48.0,638.0,0.0,5710.0
636,Rampage202,Male,1989-02-14T00:00:00+00:00,,2006-08-19T00:00:00+00:00,195.4,7.45,1.0,234.0,6.0,13.0,1.0,255.0,66.0,11674.0
638,NaughtyCalibur,Male,1987-11-22T00:00:00+00:00,"Cleveland, Ohio",2006-08-19T00:00:00+00:00,58.6,7.59,3.0,224.0,0.0,0.0,0.0,227.0,2.0,3556.0
642,rd4everanime,Female,,,2006-08-21T00:00:00+00:00,60.4,8.99,0.0,130.0,0.0,0.0,0.0,130.0,12.0,3555.0
